t,E0,E1,E2,E3,E4,E5,E6,E7
3.344481605351170561e-01,-2.899734989937695406e+00,-2.899734985504016649e+00,-9.760492777277008924e-01,-9.760492732940196925e-01,-9.665551883801648536e-01,-9.665551839464838757e-01,-9.571305282635014233e-01,-9.571305238298202234e-01
3.678929765886287395e-01,-2.889716419520095503e+00,-2.889716412960960934e+00,-9.736581112680534611e-01,-9.736581047089161167e-01,-9.632107089002708289e-01,-9.632107023411334845e-01,-9.528476059109011187e-01,-9.528475993517636633e-01
4.013377926421404229e-01,-2.879699351533154594e+00,-2.879699342146136321e+00,-9.712676782716478385e-01,-9.712676688846285655e-01,-9.598662301228008120e-01,-9.598662207357818721e-01,-9.485654525257162240e-01,-9.485654431386968399e-01
4.347826086956521618e-01,-2.869683801815706481e+00,-2.869683788750443831e+00,-9.688779847729842576e-01,-9.688779717077197207e-01,-9.565217521956952407e-01,-9.565217391304307037e-01,-9.442840779122839701e-01,-9.442840648470194331e-01
4.682274247491638453e-01,-2.859669786437295524e+00,-2.859669768678469115e+00,-9.664890368715071123e-01,-9.664890191126738195e-01,-9.531772752839133833e-01,-9.531772575250795354e-01,-9.400034920407008832e-01,-9.400034742818675904e-01
5.016722408026755842e-01,-2.849657321702514068e+00,-2.849657298052018728e+00,-9.641008407324669349e-01,-9.641008170819661549e-01,-9.498327995702292581e-01,-9.498327759197284781e-01,-9.357237050503117715e-01,-9.357236813998108804e-01
5.351170568561872676e-01,-2.839646424155438886e+00,-2.839646393213763886e+00,-9.617134025877820402e-01,-9.617133716461025994e-01,-9.464883252560563065e-01,-9.464882943143767546e-01,-9.314447272532722089e-01,-9.314446963115927680e-01
5.685618729096989510e-01,-2.829637110584172888e+00,-2.829637070730901538e+00,-9.593267287369255936e-01,-9.593266888836508022e-01,-9.431438525623008218e-01,-9.431438127090260304e-01,-9.271665691382136032e-01,-9.271665292849387008e-01
6.020066889632106344e-01,-2.819629398025496503e+00,-2.819629347398924235e+00,-9.569408255478215608e-01,-9.569407749212447412e-01,-9.397993817302517927e-01,-9.397993311036749731e-01,-9.228892413739940848e-01,-9.228891907474171541e-01
6.354515050167224288e-01,-2.809623303769626990e+00,-2.809623240245444631e+00,-9.545556994577517607e-01,-9.545556359335667374e-01,-9.364549130225079399e-01,-9.364548494983230276e-01,-9.186127548135440968e-01,-9.186126912893589624e-01
6.688963210702341122e-01,-2.799618845365077657e+00,-2.799618766534108349e+00,-9.521713569742833450e-01,-9.521712781433107065e-01,-9.331104467239453859e-01,-9.331103678929723033e-01,-9.143371204978155697e-01,-9.143370416668427092e-01
7.023411371237457956e-01,-2.789616040623653870e+00,-2.789615943768571249e+00,-9.497878046762034954e-01,-9.497877078211149904e-01,-9.297659831427101951e-01,-9.297658862876215791e-01,-9.100623496598221340e-01,-9.100622528047335180e-01
7.357859531772574790e-01,-2.779614907625548970e+00,-2.779614789696553956e+00,-9.474050492144768798e-01,-9.474049312854778693e-01,-9.264215226112706425e-01,-9.264214046822706328e-01,-9.057884537287945736e-01,-9.057883357997954521e-01
7.692307692307691624e-01,-2.769615464724571652e+00,-2.769615322314004757e+00,-9.450230973132123236e-01,-9.450229549026394338e-01,-9.230770654874921322e-01,-9.230769230769192424e-01,-9.015154443344349788e-01,-9.015153019238619780e-01
8.026755852842808459e-01,-2.759617730553499015e+00,-2.759617559869292691e+00,-9.426419557706428032e-01,-9.426417850864343695e-01,-9.197326121557767298e-01,-9.197324414715678520e-01,-8.972433333112815879e-01,-8.972431626270731542e-01
8.361204013377926403e-01,-2.749621724029545522e+00,-2.749621520867544966e+00,-9.402616314601294212e-01,-9.402614282981227589e-01,-9.163881630282242341e-01,-9.163879598662173498e-01,-8.929721327031929778e-01,-8.929719295411862046e-01
8.695652173913043237e-01,-2.739627464359988274e+00,-2.739627224074999479e+00,-9.378821313311733743e-01,-9.378818910461819147e-01,-9.130437185458575300e-01,-9.130434782608658484e-01,-8.887018547679411684e-01,-8.887016144829495978e-01
9.030100334448160071e-01,-2.729634971047897984e+00,-2.729634688523521646e+00,-9.355034624104467955e-01,-9.355031798860683478e-01,-9.096992791798940159e-01,-9.096989966555151241e-01,-8.844325119819309577e-01,-8.844322294575523991e-01
9.364548494983276905e-01,-2.719644263898043146e+00,-2.719643933515152767e+00,-9.331256318028382513e-01,-9.331253014199425433e-01,-9.063548454330593307e-01,-9.063545150501635117e-01,-8.801641170450380525e-01,-8.801637866621423445e-01
9.698996655518393739e-01,-2.709655363022916763e+00,-2.709654978626764077e+00,-9.307486466925176671e-01,-9.307482622963618724e-01,-9.030104178409674720e-01,-9.030100334448118993e-01,-8.758966828855795361e-01,-8.758962984894236303e-01
1.003344481605351168e+00,-2.699668288848905195e+00,-2.699667843714824045e+00,-9.283725143440204608e-01,-9.283720692099348692e-01,-8.996659969735466555e-01,-8.996655518394607309e-01,-8.716302226654168983e-01,-8.716297775313311957e-01
1.036789297658862852e+00,-2.689683062122639079e+00,-2.689682548920231397e+00,-9.259972421033374479e-01,-9.259967289009266578e-01,-8.963215834365204637e-01,-8.963210702341095626e-01,-8.673647497851851851e-01,-8.673642365827742839e-01
1.070234113712374535e+00,-2.679699703917472142e+00,-2.679699114673273375e+00,-9.236228373990359453e-01,-9.236222481548336249e-01,-8.929771778729611587e-01,-8.929765886287589494e-01,-8.631002778896734728e-01,-8.630996886454712635e-01
1.103678929765886219e+00,-2.669718235640140769e+00,-2.669717561698662589e+00,-9.212493077433867583e-01,-9.212486338019032495e-01,-8.896327809648912899e-01,-8.896321070234077810e-01,-8.588368208733394571e-01,-8.588361469318558372e-01
1.137123745819397902e+00,-2.659738679037574549e+00,-2.659737911020675138e+00,-9.188766607335274728e-01,-9.188758927166236212e-01,-8.862883934349597981e-01,-8.862876254180559465e-01,-8.545743928859873551e-01,-8.545736248690836145e-01
1.170568561872909585e+00,-2.649761056203897791e+00,-2.649760183968424609e+00,-9.165049040526132007e-01,-9.165040318171358003e-01,-8.829440160481829558e-01,-8.829431438127054443e-01,-8.503130083385742610e-01,-8.503121361030967496e-01
1.204013377926421269e+00,-2.639785389587588682e+00,-2.639784402181199585e+00,-9.141340454710251695e-01,-9.141330580646306325e-01,-8.795996496137498122e-01,-8.795986622073547201e-01,-8.460526819092043516e-01,-8.460516945028097036e-01
1.237458193979932952e+00,-2.629811701998832962e+00,-2.629810587613931716e+00,-9.117640928475633233e-01,-9.117629784626591904e-01,-8.762552949869075736e-01,-8.762541806020031077e-01,-8.417934285492609803e-01,-8.417923141643567364e-01
1.270903010033444858e+00,-2.619840016617055234e+00,-2.619838762542787691e+00,-9.093950541306808910e-01,-9.093938000564074642e-01,-8.729109530709258102e-01,-8.729096989966520503e-01,-8.375352634897190729e-01,-8.375340094154456461e-01
1.304347826086956541e+00,-2.609870356998663432e+00,-2.609868949570842922e+00,-9.070269373597269480e-01,-9.070255299319008868e-01,-8.695666248191264991e-01,-8.695652173913005489e-01,-8.332782022476304951e-01,-8.332767948198044339e-01
1.337792642140468224e+00,-2.599902747084957166e+00,-2.599901171633897334e+00,-9.046597506662187316e-01,-9.046581752151550138e-01,-8.662223112370142086e-01,-8.662207357859502688e-01,-8.290222606327843913e-01,-8.290206851817207845e-01
1.371237458193979908e+00,-2.589937211210284307e+00,-2.589935452006414174e+00,-9.022935022751243928e-01,-9.022917430712524833e-01,-8.628780133844698996e-01,-8.628762541805984343e-01,-8.247674547545548185e-01,-8.247656955506827980e-01
1.404682274247491591e+00,-2.579973774110365436e+00,-2.579971814307554734e+00,-8.999282005061760570e-01,-8.999262407033582489e-01,-8.595337323780650740e-01,-8.595317725752473770e-01,-8.205138010289378947e-01,-8.205118412261200866e-01
1.438127090301003275e+00,-2.570012460930878984e+00,-2.570010282507346755e+00,-8.975638537751947643e-01,-8.975616753516569846e-01,-8.561894693934336553e-01,-8.561872909698960976e-01,-8.162613161857835697e-01,-8.162591377622456790e-01
1.471571906354514958e+00,-2.560053297236235537e+00,-2.560050880933013584e+00,-8.952004705954492714e-01,-8.951980542922239881e-01,-8.528452256677698795e-01,-8.528428093645444852e-01,-8.120100172762370061e-01,-8.120076009730118338e-01
1.505016722408026641e+00,-2.550096309018597740e+00,-2.550093634275385934e+00,-8.928380595790212926e-01,-8.928353848358041578e-01,-8.495010025024108957e-01,-8.494983277591937609e-01,-8.077599216803781346e-01,-8.077572469371611108e-01
1.538461538461538325e+00,-2.540141522707147548e+00,-2.540138567595466412e+00,-8.904766294382104874e-01,-8.904736743265234677e-01,-8.461568012655295012e-01,-8.461538461538430367e-01,-8.035110471150900269e-01,-8.035080920034028962e-01
1.571906354515050008e+00,-2.530188965177587512e+00,-2.530185706331145035e+00,-8.881161889869493287e-01,-8.881129301405015219e-01,-8.428126233949396751e-01,-8.428093645484924235e-01,-7.992634116421415413e-01,-7.992601527956936236e-01
1.605351170568561692e+00,-2.520238663761895204e+00,-2.520235076304032873e+00,-8.857567471422469474e-01,-8.857531596843795096e-01,-8.394684704010075826e-01,-8.394648829431410331e-01,-7.950170336765040036e-01,-7.950134462186365658e-01
1.638795986622073597e+00,-2.510290646258355185e+00,-2.510286703726453794e+00,-8.833983129256566258e-01,-8.833943703937514602e-01,-8.361243438696943642e-01,-8.361204013377889765e-01,-7.907719319949071402e-01,-7.907679894630020856e-01
1.672240802675585281e+00,-2.500344940941842342e+00,-2.500340615208576533e+00,-8.810408954647631630e-01,-8.810365697314921363e-01,-8.327802454657087239e-01,-8.327759197324383633e-01,-7.865281257446371521e-01,-7.865238000113661254e-01
